user_id,username,user_password,first_name,last_name,dob,user_email,contact_number,address1,address2,city,acc_type,availability,gender,active
1,admin1,111,Giselle,Adams,13/11/1995,giselleadams@example.com,001-951-594-0654,72935 Matthew Tunnel,Apt. 414,Paris,Standard,Available,Female,0
2,admin2,111,Priscilla,Smith,27/08/1978,priscillasmith@example.com,001-085-588-5965,1029 Megan Trace,Suite 179,Berlin,Premium,Busy,Female,0
3,admin3,111,Cedric,Carter,24/03/1966,cc@example.com,001-951-594-0655,72935 Matthew Tunnel,Apt. 415,London,Standard,Available,Male,1
4,admin4,111,Laura,Murphy,18/12/1983,lm@example.com,001-085-588-5966,1030 Megan Trace,Suite 180,Moscow,Premium,Busy,Female,1
5,admin5,111,Heather,Williams,06/09/1972,hw@example.com,001-951-594-0656,72935 Matthew Tunnel,Apt. 416,Prague,Standard,Available,Female,1
6,admin6,111,Kelly,Green,02/06/1999,kgreen@example.com,001-085-588-5967,1031 Megan Trace,Suite 181,Amsterdam,Premium,Busy,Female,0
7,admin7,111,Rachel,Johnson,30/04/1987,racheljson@example.com,001-951-594-0657,72935 Matthew Tunnel,Apt. 417,Chicago,Standard,Available,Female,0
8,admin8,111,Paul,Foster,16/02/1975,paulfoster@example.com,001-085-588-5968,1032 Megan Trace,Suite 182,New York City,Premium,Busy,Male,0
9,admin9,111,Andrew,Thompson,11/10/1988,at@example.com,001-951-594-0658,72935 Matthew Tunnel,Apt. 418,Boston,Standard,Available,Male,0
10,admin10,111,Deborah,Harris,26/07/1976,db@example.com,001-085-588-5969,1033 Megan Trace,Suite 183,Houston,Premium,Busy,Female,0
,,,,,,,,,,,,,,

